08-26 20:59:08.415 20491 20504 I TestRunner: started: bannerIsOnScreenWithAnEmptyFeed(com.bonjur.notification.presentation.feed.NeedsActionBannerVisibleTest)
08-26 20:59:08.416  1077  1077 D RecentsView: onTaskRemoved: 141, not handling task stack changes
08-26 20:59:08.416  1077  1077 D RecentsView: onTaskRemoved: 141, not handling task stack changes
08-26 20:59:08.417 20491 20504 D IdlingRegistry: Registering idling resources: [androidx.compose.ui.test.EspressoLink@a30073c]
08-26 20:59:08.418 20491 20504 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
08-26 20:59:08.420   654  1880 V GrammaticalInflectionUtils: AttributionSource: android.content.AttributionSource@7b3372c does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
08-26 20:59:08.545   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.545   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.545   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.545   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.545   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.545   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.545   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.562   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.562   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.562   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.562   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.562   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.562   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.562   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.562   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.562   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.578   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.578   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.578   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.579   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.579   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.579   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.579   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.579   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.579   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.588   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.588   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.595   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.595   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.595   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.595   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.595   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.595   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.595   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.595   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.595   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.612   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.612   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.612   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.612   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.612   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.612   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.612   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.612   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.629   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.630   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.630   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.630   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.630   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.630   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.630   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.630   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.645   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.645   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.645   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.645   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.645   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.645   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.645   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.645   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.662   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.662   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.662   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.662   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.662   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.662   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.662   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.662   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.679   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.679   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.679   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.679   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.679   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.679   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.679   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.679   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.690   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.690   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.695   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.695   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:08.695   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
